country_name,iso3code,life_expectancy,urban_pop_pct,internet_users_pct,unemployment_pct,electricity_access_pct,population_density
Qatar,QAT,82.52,99.36,98.09,0.13,100.00,231.16
Romania,ROU,76.46,52.17,91.29,5.99,100.00,82.85
Russian Federation,RUS,73.44,75.25,94.36,2.13,100.00,8.78
Rwanda,RWA,68.02,30.91,31.70,11.36,72.00,565.65
Samoa,WSM,71.83,17.51,21.20,5.00,100.00,77.94
San Marino,SMR,85.82,97.19,97.35,,100.00,564.33
Sao Tome and Principe,STP,69.91,69.17,59.12,9.13,77.70,240.49
Saudi Arabia,SAU,78.98,84.61,100.00,3.04,100.00,15.68
Senegal,SEN,68.92,55.77,60.12,2.74,82.90,93.89
Serbia,SRB,75.97,62.64,87.69,7.12,100.00,78.76
Seychelles,SYC,76.30,45.48,87.82,,100.00,260.38
Sierra Leone,SLE,61.96,45.93,25.10,3.15,39.20,117.21
Singapore,SGP,83.35,100.00,94.38,2.82,100.00,8241.85
Sint Maarten (Dutch part),SXM,76.53,100.00,,,100.00,1257.32
Slovak Republic,SVK,78.37,53.19,89.83,5.36,100.00,112.87
Slovenia,SVN,82.29,55.99,90.76,3.18,100.00,105.31
Solomon Islands,SLB,70.69,31.31,29.04,1.43,81.50,28.58
"Somalia, Fed. Rep.",SOM,58.97,55.14,27.94,18.95,54.40,29.26
South Africa,ZAF,66.31,63.82,78.36,32.39,90.20,52.11
South Sudan,SSD,57.74,21.68,6.67,12.37,5.40,18.17
Spain,ESP,83.89,80.51,95.76,10.38,100.00,96.76
Sri Lanka,LKA,77.67,20.45,54.59,4.01,100.00,356.24
St. Kitts and Nevis,KNA,72.28,31.90,76.88,,100.00,179.84
St. Lucia,LCA,72.85,29.10,68.21,9.45,100.00,293.91
St. Martin (French part),MAF,80.44,100.00,,,100.00,550.30
St. Vincent and the Grenadines,VCT,71.38,47.98,76.19,18.00,100.00,259.80
Sudan,SDN,66.52,34.93,18.60,7.53,66.00,26.79
Suriname,SUR,73.76,65.79,87.40,7.83,99.00,3.92
Sweden,SWE,84.06,89.08,95.77,8.69,100.00,25.87
Switzerland,CHE,84.41,85.73,97.32,4.87,100.00,224.98
Syrian Arab Republic,SYR,72.56,72.08,33.77,13.57,89.30,128.49
Tajikistan,TJK,71.93,26.16,55.79,6.93,99.90,74.86
Tanzania,TZA,67.21,36.88,31.16,1.57,52.40,75.21
Thailand,THA,76.56,62.80,90.87,0.78,100.00,140.35
Timor-Leste,TLS,67.90,28.79,35.04,1.59,94.30,93.09
Togo,TGO,62.94,44.39,39.48,2.00,61.10,151.20
Tonga,TON,73.07,21.16,67.44,2.01,100.00,145.27
Trinidad and Tobago,TTO,73.62,53.97,82.16,3.33,100.00,266.57
Tunisia,TUN,76.71,70.70,76.50,15.11,100.00,78.53
Turkiye,TUR,77.42,89.49,89.77,8.52,100.00,110.87
Turkmenistan,TKM,70.20,47.11,17.99,4.27,100.00,15.67
Turks and Caicos Islands,TCA,78.18,94.40,0.00,,100.00,48.63
Tuvalu,TUV,67.26,65.45,35.20,,100.00,327.20
Uganda,UGA,68.49,31.94,8.95,2.75,55.30,242.65
Ukraine,UKR,74.69,69.60,82.47,9.83,100.00,65.12
United Arab Emirates,ARE,83.07,85.96,100.00,2.17,100.00,147.62
United Kingdom,GBR,81.39,83.32,95.47,4.75,100.00,283.25
United States,USA,78.89,80.19,94.69,4.20,100.00,36.81
Uruguay,URY,78.29,95.65,91.99,7.52,100.00,19.36
Uzbekistan,UZB,72.53,51.02,89.51,4.62,100.00,80.91
Vanuatu,VUT,71.65,22.32,22.35,5.07,65.50,26.28
"Venezuela, RB",VEN,72.67,89.32,76.68,5.31,100.00,32.09
Viet Nam,VNM,74.74,38.83,84.15,1.52,100.00,320.18
Virgin Islands (U.S.),VIR,80.77,95.39,64.38,11.44,100.00,299.76
West Bank and Gaza,PSE,69.21,87.38,86.64,24.42,100.00,857.39
"Yemen, Rep.",YEM,69.44,37.03,17.49,17.32,86.30,74.61
Zambia,ZMB,66.53,45.92,17.10,5.92,53.60,27.88
Zimbabwe,ZWE,63.06,40.50,41.64,9.29,62.00,42.24
